0,30693737;
0,0;
0,122548945;
0,20875362;
0,124287345;0,124287345;
;0,2506448;
;0,12142636;
;0,061629385;
;0,24361643;
;0,17084558;0,17084558;
;;1,3818897;
;;0,56297535;
;;1,5901216;
;;2,1618395;
;;0,46016535;
;;0,7922779;
;;1,5365739;
;;0,6537539;0,6537539;
;;;4,713495;
;;;4,9328904;
;;;1,4972365;
;;;3,5113516;
;;;1,689197;
;;;1,1597437;
;;;2,4737256;
;;;2,0565834;2,0565834;
;;;;3,8900437;
;;;;3,1939588;
;;;;2,5956633;
;;;;2,627816;
;;;;6,788394;
;;;;6,6398926;
;;;;1,2431481;
;;;;4,277373;
;;;;3,0263855;
;;;;2,0474925;2,0474925;
;;;;;4,368648;
;;;;;3,2457404;
;;;;;2,2142076;
;;;;;4,2189145;
;;;;;3,9956546;
;;;;;0,8127789;0,8127789;
;;;;;;6,268781;
;;;;;;6,6523867;
;;;;;;2,3884313;
;;;;;;4,4042687;
;;;;;;2,9130473;
;;;;;;1,4343296;
;;;;;;2,4908288;
;;;;;;2,7067614;
;;;;;;1,4541234;1,4541234;
;;;;;;;1,7796762;
;;;;;;;5,5296383;
;;;;;;;2,9275184;
;;;;;;;3,9263942;
;;;;;;;5,799576;
;;;;;;;1,7298698;
;;;;;;;2,2500885;
;;;;;;;2,26241;
;;;;;;;2,4127345;
;;;;;;;1,328184;
;;;;;;;1,9004679;